72,102
66,100
64,102

63,100
62,102
66,99
65,102
62,105
66,105
66,108

65,107
67,105
67,108
67,109
64,109
66,113
66,112

64,113
62,112
62,111
62,112
59,110
62,112
62,113

61,113
63,114
63,116
64,116
61,117
63,117
61,119

63,117
62,119
61,118
60,119
60,118
61,121
60,120

60,119
59,119
59,119
58,120
59,120
60,119
60,123

60,122
60,121
60,120
58,121
56,120
57,123
57,122

56,122
59,122
57,122
56,123
56,122
54,125
58,124

55,124
55,124
52,124
53,124
54,125
53,124
51,123

55,127
52,124
52,125
53,127
52,126
51,126
52,126

54,128
51,125
52,125
51,126
53,127
51,126
54,124

50,124
51,125
50,124
50,123
50,126
51,125
49,128

50,125
48,124
50,124
52,123
53,126
51,124
52,125

52,125
50,123
52,124
52,123
51,125
52,124
51,123

50,122
50,124
50,124
50,123
50,125
51,124
51,125

50,124
54,126
53,124
52,124
52,123
51,125
52,125

51,124
50,124
50,123
52,125
50,124
50,124
51,124

51,123
48,125
50,124
49,125
49,125
49,127
48,128

46,126
48,127
46,126
46,126
46,127
48,126
48,128

47,127
45,126
46,125
47,126
47,126
46,127
45,125

47,126
46,126
46,128
47,126
46,128
46,125
47,126

46,125
47,126
47,126
47,125
47,126
47,125
46,126

48,126
47,126
47,125
47,125
46,128
47,128
48,125

48,126
47,126
48,127
48,125
48,124
47,127
45,125

49,124
48,127
48,126
47,126
48,125
47,126
NA

49,125
NA
49,124
NA
49,125
49,124
49,124

49,125
NA
48,125
NA
50,125
49,123
NA

50,125
NA
50,125
50,123
NA
49,123
46,125

47,123
49,125
49,124
49,125
48,125
47,125
48,126

47,128
47,128
45,128
45,129
46,130
47,129
NA

45,129
44,131
43,129
44,130
45,130
41,130
42,131

42,129
42,131
43,133
43,130
43,133
40,131
40,132

43,132
42,132
42,132
41,133
41,134
42,134
41,133

43,132
43,133
42,132
42,132
40,133
43,132
40,132

42,132
42,134
41,133
41,133
42,131
41,133
44,133

42,133
41,132
42,134
42,133
42,134
41,134
38,132

40,133
40,132
41,133
40,134
40,133
39,133
41,133

40,134
40,134
40,135
NA
40,136
39,136
41,136

41,135
39,135
41,136
40,136
40,137
38,135
39,135

40,136
40,137
40,136
39,137
39,135
NA
41,135

39,135
39,135
40,135
38,136
40,136
38,135
38,136

40,135
38,136
39,136
39,136
